Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
54,Female,USA,New York,7.4,14,25.2,13.9,43.6,6,26,135.56,29,16.44,,20.9,5,10,,25.6,2,2396.66,3774,0,Q4
21,Male,USA,Houston,0.1,10,21.4,7.5,69.2,4,6,89,1,,6.1,5.7,9,1,0,22.2,3,619.54,405,0,Q1
45,Male,USA,Houston,2.3,28,45.7,15.8,23.4,11,31.2,172.65,,18.96,2.1,41.8,3,8,51.5,29.9,2,4964.67,2231,0,Q4
26,Other,USA,Los Angeles,0.9,10,26.9,6.9,67.8,2,6,79.12,11,26.7,6.4,2.2,4,3,13.1,11.2,3,468.91,0,0,Q3
31,Male,USA,Houston,3.7,8,13,6,70.6,0,4,140.09,3,16.7,1.7,,7,1,29.1,10,,588.44,0,0,Q3
38,Male,USA,Chicago,0.8,10,13.4,7.5,80.6,3,5,83.66,34,46.5,7.3,20.4,8,0,0,0.5,3,426.96,382,0,Q2
28,Female,USA,Chicago,1.6,12,15.6,6.7,55.6,7,10,97.95,,46.8,7.7,32,10,2,0,13.1,2,929.28,1870,0,Q1
53,Female,USA,Houston,1.5,18,23.8,9.4,70.3,2,7,104.72,61,16.2,9.1,0,10,1,14,8.8,1,709.07,1653,1,Q3
18,Female,USA,Houston,1.9,8,18.1,1.2,70.5,0,2,220.17,5,76.6,8.4,2.3,6,1,0,13.5,2,433.88,1658,1,Q2
47,Male,USA,Phoenix,1.6,6,20.6,,60.1,2,3.9,127.49,8,78.84,6.2,21.7,5,1,11.2,13.1,3,316.61,1312,0,Q4
22,Female,USA,New York,4.5,0,16.8,5.8,54.6,0,7.8,115.15,,33.72,6,6.2,12,0,0,15.3,1,748.33,,1,Q4
44,Male,USA,New York,3.7,7,20.6,4.9,59.1,3,10.4,128.84,8,70.08,10.8,7.2,8,1,0.3,17.1,2,1145.79,0,0,Q4
41,Male,USA,New York,1.2,5,13.5,6.8,63.1,5,7,76.06,42,61.5,9,23.9,8,3,45.6,2.2,5,428.69,885,0,Q2
42,Male,USA,Phoenix,4.7,3,17.7,7.4,59.2,1,7.8,178.42,5,20.28,1.1,3.6,10,3,8.5,16.9,2,1022.78,1549,0,Q4
29,Female,USA,New York,0.1,4,36.2,9.7,48.8,6,10,264.02,,33.3,7.1,23.8,3,7,34.5,,2,2305.4,2278,0,Q2
40,Female,India,Bangalore,0.6,4,21.8,4.9,87.7,2,6.5,81.76,3,87.48,10,,3,,10.5,,4,442.81,781,1,Q4
41,Female,USA,Phoenix,2.4,0,2.6,1,63.3,0,4,86.29,27,31.6,6.2,1.2,8,0,6.7,9.4,2,278.08,0,1,Q2
45,Female,USA,Houston,4.7,3,6.9,3.3,73.5,,7,66.55,3,65.7,,10.7,7,0,0,1,3,393.97,2487,0,Q3
49,Female,USA,Houston,2.3,8,32.5,11.4,58.6,4,9,85.01,9,44.4,,14.2,9,1,,18.9,2,764.66,2507,0,Q1
42,Male,USA,Houston,2.8,10,18.8,7.6,75.2,6,8,165.06,67,39.5,1.3,22.3,6,2,32.9,8.5,2,1399.91,,0,Q1
27,Male,USA,Chicago,2.5,19,30.4,7.9,51.5,,16.9,90.05,20,53.4,10.9,28.6,9,3,48.8,21.7,3,1251.01,1490,0,Q4
28,Male,USA,Chicago,4.5,12,21,6.1,58.1,0,9,153.71,,48.7,1,6,7,5,32.7,25.2,2,1513.55,2622,0,Q3
70,Female,USA,Los Angeles,0.3,33,47.3,16.4,36.9,9,22,109.27,89,,8.6,47.9,4,5,,31.7,2,2743.33,4087,0,Q1
25,Male,India,Mumbai,2.5,20,,10.3,61.8,8,18,70.47,41,40.6,14.1,24.3,4,5,35.5,21.5,2,1057.99,,0,Q3
35,Male,USA,Phoenix,3.6,6,29.8,7.7,48.8,3,10,126.91,30,54.1,2.2,13.2,7,0,37.3,,3,1078.04,1568,0,Q3
46,Male,USA,Phoenix,3.1,14,26.4,8.1,45.6,5,12,124.91,33,39.2,4.2,24.5,1,5,32.7,,1,1727.55,2362,0,Q1
43,Female,India,Chennai,1.3,1,17.1,5.8,69.7,2,6,133.96,18,14.7,0.8,12,5,3,10.1,10.9,1,679.44,1334,0,Q3
27,Female,USA,Chicago,10,16,36.5,15.4,50.9,4,14,186.92,10,58.2,6,18.7,3,4,22.1,17.2,2,2747.81,1057,0,Q3
,Female,USA,Houston,1,25,45.4,,27.7,17,24,90.27,68,40,11.2,29.4,3,5,50.4,34.5,4,1907.98,4307,0,Q3
24,Male,USA,Phoenix,5,4,14.9,5.4,63.3,0,11,202.86,15,68.5,6.9,8.1,7,,23.6,12.9,1,2351.35,848,1,Q2
50,Female,USA,Chicago,2.2,3,17.6,5.4,55.8,5,10,71.79,21,,4.9,4.4,7,,26,12.3,3,792.65,2271,0,Q1
26,Female,USA,Chicago,3.1,13,40.4,9,42.4,6,21,165.29,89,63.2,5,32.1,3,7,21.9,32.8,3,3781.45,,0,Q2
44,Female,India,Mumbai,4.8,18,,11.1,65,4,12,235.37,8,15.4,2,28.1,10,4,,17,1,2488.85,1919,1,Q2
75,Male,USA,Phoenix,1,6,28.3,4.9,60.4,2,11,62.36,78,27.6,12.7,33.5,4,1,5.9,16,4,595.05,3097,0,Q1
38,Female,USA,Phoenix,2,12,,,65.4,1,4,134.78,61,35,7,1.5,11,0,27.7,7.8,4,568.88,2450,1,Q2
18,Female,USA,Chicago,0.6,21,36.3,13.7,17.9,,18,164.94,21,73.1,,44.6,3,5,34.5,35.6,3,3130.81,2795,0,Q1
46,Male,USA,New York,2.4,10,15.6,2.1,78.9,1,14.3,264.62,20,43.92,4,20.9,8,1,20.6,8.5,2,2953.83,938,1,Q4
32,Male,USA,Phoenix,2.8,8,25.9,11.8,41.7,5,30,118.81,112,40.6,0.9,18.5,3,2,25,20,1,3606.75,3072,0,Q1
38,Female,India,Hyderabad,2.7,23,22,10.9,51.3,9,14,112.92,12,16.5,3,27.1,5,2,39.8,16.6,5,1796.47,2324,0,Q1
30,Female,USA,Houston,5.5,0,16.1,1.9,98.4,0,4,78.49,6,14.8,2.1,,6,1,18.3,8.5,2,353.27,,1,Q2
30,Male,USA,Los Angeles,2.6,10,24.9,9,59.4,2,13,171.85,33,62.76,9.3,9.9,8,5,25.4,12.3,,1451.24,972,0,Q4
48,Female,USA,Phoenix,7.4,4,25.7,3.5,96.2,1,2,67.68,57,34.1,9.1,4.1,11,1,0,7.3,2,155.09,1820,1,Q2
44,Female,USA,Houston,3.1,28,43.3,13.1,27,7,22.1,151.71,18,,11.1,48.4,4,,50.6,33,3,2093.35,4178,0,Q4
48,Male,India,Chennai,2.6,20,31.3,7.1,38.4,7,15,158.22,30,59.9,12,27.2,10,0,57.2,23.6,,2381.33,818,1,Q2
22,Female,USA,Los Angeles,0.9,13,37.3,12,52,9,21,73.79,17,17.6,9.9,48.2,6,2,50.9,27.6,2,1615.4,2181,1,Q2
63,Male,USA,Phoenix,4.8,11,33.6,7.8,62.6,7,18.2,98.03,6,11.4,13.9,18,3,4,51.3,12.8,2,1355.41,2330,0,Q4
,Male,USA,Houston,1.6,0,16.6,,84,0,5.2,240.15,32,36.72,8,,2,2,0,13.1,2,983.6,0,1,Q4
26,Female,USA,Phoenix,1.9,7,21.9,6.3,61.3,2,7,89.4,9,81.6,5.2,12.7,8,1,17.5,10.1,1,647.51,1213,0,Q1
25,Female,USA,Phoenix,2,20,26.9,14.2,57.3,2,18,80.49,,69.4,3.8,18.8,5,4,37.7,,2,1370.43,1517,0,Q1
34,Male,USA,Los Angeles,2.9,13,28.3,11.4,50.3,3,15,92.81,32,42.6,7.4,23.9,9,4,37.5,26.5,2,1452.51,,0,Q1
57,Female,USA,Los Angeles,9.7,3,18.4,11,67.4,3,9,115.64,2,24,5,15.1,5,6,0,9.2,4,958.64,1610,0,Q2
20,Female,USA,New York,1.9,6,19.5,,57.3,1,18,108.53,37,22.2,1.4,23.1,7,0,22.8,15.8,1,1660.61,621,1,Q3
32,Male,USA,Chicago,0.9,13,38.1,10.1,64.7,12,12,161.39,89,39,1.4,20.5,5,1,42.2,,2,1586.29,3009,0,Q3
39,Female,USA,Chicago,0.3,9,29.3,9,40.2,4,9,175.38,9,79.4,2.7,,1,1,38.2,,2,1846.93,1781,0,Q3
51,Female,India,Delhi,1.5,8,10.2,4.9,76.9,2,10.4,83.17,20,47.4,3.1,0,7,,0.7,14.6,2,685.12,0,1,Q4
26,Male,USA,New York,1.4,14,25.8,5.6,51.2,1,9,92.35,14,48.1,13.6,18.8,4,2,22.4,15,2,852.63,,1,Q3
43,Female,India,Mumbai,2.1,9,20.5,4.1,59.1,2,4,75.58,20,40.1,6.5,4.4,3,0,0,10.4,2,273.08,1597,0,Q1
40,Female,USA,Chicago,2.4,20,37.7,13.2,39.2,6,18,178.7,19,48.4,3.2,31.2,4,7,41.6,29.2,2,2925.35,3609,0,Q3
30,Female,USA,Houston,0.5,15,28.6,11.6,45.6,,23.4,76.59,10,31.08,16.7,32.6,9,2,33,31.6,1,1565.01,4219,0,Q4
38,Male,USA,Los Angeles,2,3,9.4,4.8,54.4,0,3,91.96,5,50.2,6.5,13.7,9,0,22.8,0.8,2,301.49,1629,0,Q2
39,Other,USA,Chicago,2.8,22,26.7,14.9,57.4,7,15,156.12,6,55.1,2.2,23.4,6,,7.6,25.9,1,2335.27,3608,1,Q1
57,Male,USA,New York,5.7,24,37.9,11.5,44.3,8,23,129.7,,16,0.4,42.4,1,2,,20.3,3,3444.13,1961,0,Q1
63,Male,USA,Houston,1.9,10,21.6,,68,4,6,107.13,35,72.1,,19.9,14,2,,10,1,518.33,1203,0,Q3
45,Male,USA,Phoenix,4.2,12,19.7,5.2,59.9,4,4,94.25,0,39.2,5.4,11.1,8,1,28.4,13.1,2,344.57,1052,0,Q2
35,Other,India,Bangalore,3.2,7,20.3,6,63.7,0,12,67.6,2,9.3,9.6,0,7,3,23.8,17.3,3,892.6,,1,Q1
48,Female,USA,Phoenix,4.9,14,41.5,12.5,48.3,10,17,107.6,70,7.3,8.2,23.7,4,4,40.8,,5,1679.78,3562,0,Q3
42,Female,USA,Chicago,8.8,39,69.1,20.9,1.3,10,37.7,79.85,23,44.4,0.6,61,1,7,84.4,48.5,2,2659.41,4963,0,Q4
29,Male,USA,Phoenix,4,17,35.3,11.6,47.1,6,25,46.93,16,,9.7,23.9,3,6,45.6,17.8,3,968.91,2440,0,Q1
48,Female,India,Hyderabad,5.2,0,13.9,5.6,73.5,2,4,77.48,28,32.3,6.2,2.6,4,1,0,14.5,2,292.9,1551,1,Q1
,Male,USA,Los Angeles,4.5,22,62.7,17.8,21.1,,23,73.19,29,8.5,2.5,48.7,1,7,87.4,48.4,4,1681.2,5234,0,Q1
45,Female,USA,Los Angeles,1.2,0,19,1,79.3,2,6.5,87.42,42,54.24,0.3,18.4,8,0,0,9.9,3,499.21,0,1,Q4
45,Male,USA,Chicago,2.8,10,30.3,6.1,64.4,5,7,77.65,29,59.8,12.8,11.3,8,2,34.2,,5,576.27,0,0,Q2
39,Female,USA,New York,2.3,5,25.2,7.1,72.5,3,7,210.06,10,71.5,2.2,8.7,5,,33.5,,3,1410.59,461,0,Q3
53,Female,USA,Chicago,1.3,10,19.2,3.5,70.8,1,4,51.84,4,19.8,4.7,13.2,8,0,13.4,20.2,2,182.4,1065,0,Q1
30,Male,USA,Phoenix,1.8,0,13.7,7.6,70.2,0,5,140.96,26,28.4,4.9,0,7,0,3.7,12,1,604.46,1606,1,Q2
35,Male,India,Chennai,5.6,0,24.2,3.1,67.6,0,5.2,53.67,21,12,8.3,0,7,0,0,,1,249.02,,1,Q4
51,Female,India,Chennai,0.249093093,16,31.4,7.4,66.7,8,66,71.92,15,9.9,81.51353276,24,3,1,38.5,16,1,575.58,1384,0,Q1
46,Female,USA,Chicago,3.7,12,22.2,8.9,71.2,3,9,59.95,,55.3,0.7,23.7,8,0,13.5,20.6,3,501.53,3773,0,Q2
36,Female,USA,New York,0.5,5,16.9,7.7,81.9,1,4,64.59,4,27.9,9.2,8.7,6,0,9,15,4,226.45,173,1,Q1
28,Female,USA,Los Angeles,3.1,34,61.7,22.8,2.8,13,26,98.12,,48,4.1,52.1,1,6,64.5,50.6,3,2519.74,5587,0,Q1
63,Female,India,Delhi,4.7,12,27,4,84.9,6,9,77.94,58,38.4,1.6,8,5,2,28.8,17.5,4,587.19,2324,1,Q1
23,Male,USA,Phoenix,0.4,24,29.4,10.2,38.6,4,15.6,85.44,3,16.32,3.1,24.5,4,3,9.4,35.5,,1082.51,3185,1,Q4
45,Female,USA,Chicago,2.8,0,20.7,,55.6,3,14.3,106.12,40,40.92,2.2,8.9,1,3,26.1,19.1,3,1353.33,680,0,Q4
45,Male,USA,Houston,5.4,14,28.6,8.9,49.3,5,15,137.44,63,12.1,4.2,27.6,5,3,48,22.4,1,2423.37,,0,Q2
37,Male,USA,Los Angeles,4,14,32.3,9.3,49.2,3,12,67.45,5,57.7,13.6,21.5,3,3,27.7,21.2,1,654.16,3521,0,Q2
27,Other,USA,Los Angeles,3.1,5,22.6,9.7,61.6,1,10.4,100.57,3,95.28,8.4,2.7,6,0,30.8,17.3,1,861.75,1561,0,Q4
38,Male,USA,Chicago,3.2,16,27,,36.2,4,14,178.15,43,43.2,13.4,22.1,6,2,1.9,27.9,1,2521.22,2225,1,Q1
36,Female,USA,Houston,0.8,5,,8.8,65.1,2,8,115.69,3,,8.1,6.4,3,1,26.4,18.3,2,1035.5,2306,0,Q1
42,Female,USA,Phoenix,1.4,24,31.2,11.1,65.1,,18,98.17,,28.9,9.9,28.4,4,6,77,27.3,2,1936.42,2267,0,Q1
40,Male,USA,Houston,2.3,16,50.7,12.3,30.2,8,19,207.94,17,66.3,,19.4,5,5,61.5,31.8,1,3416.45,4349,0,Q1
40,Male,USA,Houston,5.1,26,28.9,7.9,47.2,4,14,133.12,71,58,1,6,6,1,0,12.7,2,1736.6,2890,0,Q3
32,Male,USA,New York,1.4,9,22.8,4.9,83,8,15,138.74,4,75.6,,0,10,0,21.3,12.8,3,1681.02,877,1,Q2
40,Male,USA,New York,1.3,0,,1.9,74,0,2,121.25,91,53.5,3,5.4,2,1,3.7,7.1,5,270.62,1751,1,Q3
29,Female,India,Chennai,2.4,32,40.1,15.7,43,3,17,158.11,5,40.2,10.9,56.2,4,,65.1,30.6,4,2899.2,3175,0,Q2
35,Male,USA,Chicago,3.4,21,42.4,12.8,36.8,13,24,75.58,54,53.6,4.8,49.6,4,,40.1,32.2,1,1493.82,2566,0,Q2
41,Female,India,Mumbai,1.8,23,37.2,9.2,41,5,20,77.55,1,49.2,4.9,41.1,5,7,53.2,35.2,2,1448.81,3181,0,Q2
37,Female,USA,Los Angeles,5.2,8,23.9,9.4,60.7,4,5,73.92,17,68.9,7.1,25,5,4,25.6,14.1,2,388.68,722,0,Q2
34,Female,USA,Phoenix,1.5,16,30.6,12.9,62,3,18.2,127.17,55,67.32,2,28.2,7,4,30.7,23.8,2,1515.11,3665,0,Q4
44,Female,USA,Phoenix,2.8,0,,5.1,77.9,0,1,230.5,21,21.4,9.1,0,12,0,3.4,0,3,198.51,1696,1,Q2
42,Female,USA,Chicago,0.5,23,21.5,,59.8,3,10,126.13,13,69,3.7,25.7,7,2,45.6,28,4,1390.89,907,0,Q3
33,Male,USA,Phoenix,1.9,6,29.3,5.9,53.3,7,7,131.51,12,27,7.7,0,7,3,13,16,2,946.64,0,0,Q1
38,Male,USA,Houston,0.5,30,47.9,19.4,29.7,13,21,171.78,51,8.1,0.5,42.1,3,9,71.1,34.7,2,3337.06,5623,0,Q3
28,Male,USA,Phoenix,6.8,0,14.1,5.7,75.2,2,14,92.36,11,88.5,14.4,0,7,0,30.9,6.8,2,1256.68,742,1,Q3
43,Male,USA,Houston,3.3,2,28.5,8.2,57.6,2,10,72.86,6,56.9,2,17,2,4,33.6,22.6,1,603.04,564,0,Q1
55,Male,USA,New York,4.1,23,50,11.2,28.6,,20,151.29,47,25.6,0.6,47.1,1,6,60.8,36.8,4,2922.54,4729,0,Q2
49,Female,USA,New York,2.4,16,,11.7,62.8,4,9,104.06,31,36.3,1.8,29.8,7,2,,11,2,945.86,24,0,Q2
27,Female,USA,Houston,1,13,40.2,10.3,51.3,14,18,107.73,,22.3,4.2,21.7,8,3,39.4,22.6,2,1973.6,4195,1,Q3
18,Female,USA,Houston,5.1,0,20.3,,67.4,3,5,93.15,45,,7,12.3,5,2,13.4,3.9,1,416.34,636,0,Q1
31,Male,USA,Phoenix,6.8,24,16.3,6.3,73.1,0,14,112.43,102,33.9,,24.1,8,0,27.6,18.8,2,1344.9,2742,0,Q1
43,Female,USA,New York,4.3,8,31.1,11.6,69,6,11.7,94.5,12,48.12,3.7,17.3,5,2,,12.1,2,822.01,2368,0,Q4
59,Male,India,Mumbai,7.2,0,14.5,4.5,73,1,3,110.52,13,60.8,2.7,2,7,0,14.3,7.6,4,298.67,0,1,Q2
18,Female,USA,Los Angeles,3,40,49.5,17.2,11.2,15,32.5,86.41,,46.32,5.8,51.3,2,5,51.7,43,5,1904.54,3613,0,Q4
52,Male,USA,Phoenix,3.7,2,19.1,6.8,81.5,1,15.6,110.29,76,58.2,16,4.1,11,0,12.8,10.3,4,1377.89,,1,Q4
38,Female,USA,Houston,2.3,8,15.7,8.6,67.6,0,13,90.42,8,59.3,1.9,3.3,10,2,36.9,12.6,1,1380.27,0,0,Q1
45,Male,USA,Houston,2.3,28,50.9,16.6,25.7,12,20,52.81,11,27.6,0.1,38,2,7,60,33.9,2,845.3,3255,0,Q1
36,Female,USA,Los Angeles,0.9,6,24.6,8.5,59,1,13,98.12,24,1.6,12.6,30.4,5,2,,16.2,5,1498.7,2492,0,Q2
39,Male,USA,Houston,1.4,18,37.9,9.9,33.2,1,18,81.72,3,37.4,0.8,10.8,6,8,24.2,,3,1480.58,3123,0,Q1
24,Female,USA,Los Angeles,7.3,13,31.9,12.1,31.8,4,13,236.89,79,53.3,19.2,35,6,3,37.7,21.8,1,2480.79,2924,1,Q2
19,Female,India,Mumbai,2.3,23,36.4,13.5,48.3,4,16.9,91.89,18,72.48,,27.9,3,5,32.2,18.9,3,1242.55,1292,0,Q4
53,Male,USA,Houston,2.3,17,34.7,8.1,43.4,6,22.1,147.23,9,74.64,6.3,33.9,7,7,25.1,26.4,4,2609.44,1287,1,Q4
,Female,India,Delhi,1.3,7,,,68.4,4,7,64.49,20,,8.8,0,7,0,1.2,15.2,2,511.46,,0,Q3
52,Male,USA,Los Angeles,2.9,11,,5.9,70.7,4,14,80.99,11,,3.6,7.9,3,6,10.9,27.6,2,1003.42,2282,0,Q2
35,Male,India,Delhi,4.7,9,18,4.7,71.5,4,10.4,133.03,30,70.56,,7.9,9,1,11.1,19.3,4,969.94,2651,1,Q4
54,Male,USA,Houston,4.2,18,32.6,10.4,32.1,10,35.1,99.77,,47.4,8,37.6,7,7,32.6,30.2,2,2366.85,1685,1,Q4
26,Female,India,Bangalore,1.9,15,31.8,12.3,35.9,5,15,282.81,24,63.1,4.6,13.4,8,4,37.7,,2,4058.39,1278,1,Q1
46,Male,India,Chennai,2,5,16.4,4.7,70.8,0,3.9,67.15,43,43.32,1.6,0,5,0,,6.1,1,196.25,926,1,Q4
